Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports",I have had my identity stolen and I have contact the police and received a report and sent it to both XXXX and XXXX XXXX. They will not accept that I am telling it's not of my doing and now I can't refinance my house and I am forced to put it up for sale
Debt collection,"Contacted XXXX in 2017 when I found that the tenant XXXX XXXX XXXX XXXX at the time did not transfer account over to his name. XXXX told me to have tenant contact them to have account transferred and they would send out a letter to have signed by me and tenant. Instead of XXXX transferring the account they made up a new account and never sent out a new letter. 

After several attempts of contacting them and disputing the account with the credit bureas, I decided to reach out to you."
Debt collection,"I recently check my credit report and notice inaccurate accounts from Direct Management inc with some alleged debts from {$350.00}, and XXXX.So, I sent them letters on XX/XX/2021 disputing the validity of the debts, and requesting documents of each account.I have also attached copies below for your viewing to assist me with the process.I haven't heard anything from them as of now."
"Money transfer, virtual currency, or money service",Company refused to cash stimulus check because it was signed.
"Credit reporting, credit repair services, or other personal consumer reports","I disputed an item for which I have not received a bill or and am not aware of a valid debt ; however, it reports as a collection item for Experian. They have not done proper due diligence or provided any support to me to support keeping the item on my report."
Credit card or prepaid card,"Was recently issued a new Credit Card by Synchrony Bank that replaced my expiring card. My account was current, never late and I was a long term customer The experation date was XX/XX/25. I tried to use the card twice and the purchases were declined. One purchase was for a car battery. I was left in the lurch. I called Synchrony and they indicated that the account was closed due to inactivity. 

I received no written, telephonic and electronic notice that my account was endanger of being closed due to inactivity."
"Credit reporting, credit repair services, or other personal consumer reports","I was checking my credit report, and I had no idea about the accounts and multiple inquiries, that I am disputing. I have never had any contracts or I have never agreed to any of these accounts with my signature."
Checking or savings account,My account overdraft fees are turned off so that I don't get my account overdraft still i get overdrawn by the bank every time I use my XXXX. Suntrust now truist is not willing to resolve this issue.
Mortgage,Bank of America placed my home loan into foreclosure after i explained to them last XXXX i was laid off permanently from my job and needed forebearance through the CARES ACT
Mortgage,I recently was notified that my mortgage is reporting 30 days late as of XX/XX/2020. This must be incorrect as I have been making on time payments on my mortgage for quite some time now. It's only reporting on XXXX and I'm certain this has to be some kind of system error.
"Credit reporting, credit repair services, or other personal consumer reports","Experian never investigated my dispute against XXXX XXXX XXXX. My complaint is that the collection amount reported to them is not mine, because it isnt. Experian never investigated as XXXX is unable to confirm anyone from Experian ever reached out for any confirmation or investigation whatsoever. What I did experience throughout the process was a constant bombardment of credit offers and sales promotions. Experian advertised a service they didnt attempt to provide."
"Credit reporting, credit repair services, or other personal consumer reports",The account has already been investigated and the inaccurate account removed. I am requesting that Experian follow suit.
Debt collection,I looked at my credit on XXXX XXXX and saw that ARS COLLECTION AGENCY took one medical visit and duplicated over 20 collections on my credit mostly for {$21.00} all for the same date. this is so wrong. I have been sick battling for my life and to find that this kind of injustice and fraud as well as greed is going on behind the scene.
"Credit reporting, credit repair services, or other personal consumer reports","I am unable to see my updated Experian Credit Score, That i am paying for monthly starting XXXX. The money is taken away monthly. But i can not view my credit score. I can not do anything because of the error. 


Experian is not updating my credit score FCRA Violations- Update my credit score."
Debt collection,"i had to move because i was layed off due to covid 19, i was unaware these charges were added to my credit report, i tried to work out a way to pay, but they did not adhere to any resolutions offered."
Debt collection,I was never notified that my account was going to collections. I could have paid the account in full before going to collections. This is unfair practices and unprofessional. I paid the debt owed in full and should not have been charged collection fee if I was not notified.
Debt collection,I WAS SERVED A JUDGMENT FOR A CAR LOAN THAT I COULDN'T AFFORD ANYMORE AND LOBEL FINANCIAL HAS BEEN GARNISHING MY WAGES CLAIMING I OWE {$11000.00}. THIS HAS CAUSED ME A HARDSHIP WITH MY JOB AND STRESS WITHIN MY FAMILY.
"Credit reporting, credit repair services, or other personal consumer reports","Hello, I sent out a letter to TransUnion on XXXX XXXX to investigate this matter. I've tried to fix this issue with this company. It has been 45 days today XXXX XX/XX/2021 ) and no responses from them! I am a victim of Identity theft and have accounts reporting on my credit that are not mine! I have filed an Identity theft report with Identity theft.gov. This is not fair, and I want these accounts deleted from my credit immediately : XXXX account, XXXX XXXX, Avant, and XXXX Bank!"
"Credit reporting, credit repair services, or other personal consumer reports",XXXX  IS VIOLATING MY RIGHTS BY REPORTING FALSE INACCURATE ACCOUNTS ON MY CREDIT FILE. THESE ACCOUNTS WERE OPEN FRAUDULENTLY IN MY NAME. THIS IS MY 4th ATTEMPT WRITING XXXX  ABOUT THIS MATTER. THEY HAVE NOT RESPONDED TO MY DISPUTES OR MADE ANY CHANGES. I AM GOING TO HAVE MY ATTORNEY TAKE THEM TO COURT BECAUSE THIS IS A VIOLATION OF THE FAIR CREDIT REPORTING ACT.
"Credit reporting, credit repair services, or other personal consumer reports","I previously disputed that this item was not mine, provided all three bureaus with the requested information. After 47 days of waiting abd this adversly effecting me, it was removed. I recently checked my credit report and it was added back, without notification and with no regard to the information that was sent to all three bureaus, several times."
"Credit reporting, credit repair services, or other personal consumer reports","THIS ACCOUNT WAS OPEN fraudulent I AM A VICTIM OF identity THEFT AND THE COMPANY SAID MY CLAIM WAS DENIED BECAUSE MY INFORMATION MATCHED MY address, someone STOLE MY identity AND I WAS NOT THE ONE THAT OPENED THIS ACCOUNT, I HAVE SENT THIS COMPANY A COPY OF THE POLICE REPORT AND I SENT THEM A COPY OF MY FTC REPORT AND THEY ARE NOT TAKING CARE OF THIS fraudulent ACCOUNT."
"Credit reporting, credit repair services, or other personal consumer reports","You are reporting negative information on my credit report which is extremely inaccurate. I have never made a late payment to your company. This is a violation of my rights of the FCRA, and I will be seeking legal action and compensation for this under 15 USC 1681. The inaccurate reporting of this account is an adverse action and a defamation of character. It has be on my report for too long. I HAVE NEVER MISSED A PAYMENT. XXXX and XXXX reflect that as well. Please correct my EXPERIAN report."
"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/2019 I attempted to dispute a fraudulent credit card account on my credit report with TransUnion. Yesterday I was notified that I am being sued by a collections agency for the outstanding balance on the fraudulently opened account. TransUnion did not investigate the disputed account and did not notify me that they were not investigating my dispute.
"Credit reporting, credit repair services, or other personal consumer reports","To whom it may Concern My Name is XXXX XXXX my identity have been used without my consent I've had issues in the pass with identity Theft someone used my personal Information without my Authorizations. this account is fraud and i need this Account to be documented as Fraud and Removed from my Credit. 
thank you"
"Credit reporting, credit repair services, or other personal consumer reports","I had a student loan account in collection and had derogatory status. I reconsolidated my student loan accounts and the company I went through, paid those accounts off. One account did get removed from my credit report while the other still remain. With all the documentation I have to verify, this account keep getting denied."
"Credit reporting, credit repair services, or other personal consumer reports","I disputed a lot of inaccurate, incomplete and repetitive information and the credit bureaus haven't answered me in 35 days and still reporting those items"
Credit card or prepaid card,Citi bank changed my minimum amount due and then lied about why to collect more interest. How is this not illegal?
"Credit reporting, credit repair services, or other personal consumer reports",XXXX IS VIOLATING MY RIGHTS BY REPORTING FALSE INACCURATE ACCOUNTS ON MY CREDIT FILE. THESE ACCOUNTS WERE OPEN FRAUDULENTLY IN MY NAME. THIS IS MY 4th ATTEMPT WRITING XXXX  ABOUT THIS MATTER. THEY HAVE NOT RESPONDED TO MY DISPUTES OR MADE ANY CHANGES. I AM GOING TO HAVE MY ATTORNEY TAKE THEM TO COURT BECAUSE THIS IS A VIOLATION OF THE FAIR CREDIT REPORTING ACT.
"Credit reporting, credit repair services, or other personal consumer reports",There are 2 accounts listed on my credit report that do NOT belong to me and I have no knowledge of. This is a result of malpractice or an error and is negatively impacting my credit worthiness.
"Credit reporting, credit repair services, or other personal consumer reports","I have disputed several accounts that reports errors in my credit report with XXXX, Transunion and XXXX. All I want is for them to remove it completely from my credit report and establish my credit to have a better financial status. It has been seven months but they did nothing! I am very distressed and I hope you can help me to have them fix this issue. 

First Letter was XX/XX/2020 the second letter was on XX/XX/2020 the Third letter was XX/XX/2020 and the last letter was XX/XX/2020."
"Credit reporting, credit repair services, or other personal consumer reports",I have had XXXX on my credit report since 2012. Its been closed but some collections company is trying to reopen the account by just changing the date on the report. Ive contacted them telling them they cant do that. and transunion wont take it off because from whAT they see it was opened recently but its almost ten years old. I need this taken off my transunion account its affecting me still and its not fair its not supposed to be on my credit info anymore
"Credit reporting, credit repair services, or other personal consumer reports","There are several inaccuracies on my report that I didnt authorize these accounts violating my rights according to the FDCPA. The Credit Reporting agency continues to violate my rights according to 15 USC 1692. "" Any bad debt furnished on your reports is ruining your reputation and it's defamation of character '' I am requestion that the credit agencies stop reporting these accounts and violating my right according to the 15 USC 1692."
"Credit reporting, credit repair services, or other personal consumer reports","At this time, I respectfully request a copy of my XXXX, XXXX  and Trans Union credit report. I dont know why all of my written requests have been ignored, but it would be greatly appreciated if each credit reporting agency will mail out a copy of my credit report to XXXX XXXX, XXXX XXXX XXXX, XXXX, NY XXXX. Your professional cooperation will be greatly appreciated. 
XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I have submitted my dispute letters over 30 days ago. The companies listed below have failed to respond and they are in violation according to 15 USC 1692. I did not give my written consent to disclose these things on my credit report according to 15 USC 1681 this is a violation. These accounts should be blocked and removed from my credit report. I have sent my FTC for these fradulents accounts.
Checking or savings account,"I received a text message from XXXX reading "" Your Wells-Fargo Account has been placed on hold. Please review your-account here : https : //verify-accountwells-fargo.us/ I have no Wells Fargo account. 
So this seems to be some kind of phishing scam."
"Credit reporting, credit repair services, or other personal consumer reports",I had an XXXX loan for a XXXX that I put $ XXXX down and XXXX sold the vehicle and still reported a charged-off balance and never updated it ... I've disputed with the bureaus and only XXXX has corrected the mistake. I've made several attempts with XXXX and finally got them to send me something. I just want this account fixed. Someone told me that the credit bureaus get paid money from creditors to leave items open .... I did everything I was suppose to do. Thank you for helping and hearing me
"Credit reporting, credit repair services, or other personal consumer reports",I have tried to get this rectified multiple times. I've heavily had my identity utilized and stolen. So much so that I had to get a court order. This isn't my account.
"Credit reporting, credit repair services, or other personal consumer reports","Experian is no better than a closed down business. No person answers the phone, returns phone calls, etc. There is no one to communicate with concerning my credit freeze with Experian."
Credit card or prepaid card,"A Verizon-branded credit card is issued by Synchrony Bank. Reward dollars on the Verizon credit card should be available to spend on the Verizon wireless bill. Although {$44.00} of rewards dollars are available on the Verizon credit card website at XXXX, {$0.00} of reward dollars are available on the Verizon Wireless website at XXXX. On XX/XX/XXXX, I complained to the Syncrhony Bank at XXXX, which said it was Verizon 's problem. Also on XX/XX/XXXX, I complained to Verizon at XXXX, which said it was Synchrony Bank 's problem."
"Credit reporting, credit repair services, or other personal consumer reports","I have a DISMISSED Bankruptcy that was filed in XXXX and is almost at the 10 year mark ; I have disputed it with the bureaus trying to get it removed prior to the 10 years, especially since it's dismissed and doesn't legally exist any longer and can only be verified through public record. My first dispute with the bureaus was on XX/XX/XXXX followed by a 2nd dispute on XX/XX/XXXX."
"Credit reporting, credit repair services, or other personal consumer reports",On XXXX XXXX and XXXX I have reached out to credit bureau Experian a number of times to dispute my inquiries over the phone and I get the run around.
"Credit reporting, credit repair services, or other personal consumer reports",Data breach information was compromised. don't recognize account
"Credit reporting, credit repair services, or other personal consumer reports","XXXX was given permission to run my credit ( in-house ) for the purpose of providing an auto loan ( XX/XX/19 ). 
XXXX ran my credit again ( and without my knowledge or permission ) nearly 14 days ( XX/XX/19 ) after the terms of the loan were established."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX XXXX is saying that I owe {$4800.00} when I already settled the debt with them for {$1600.00} back in XXXX. My credit score is starting to fall and debt has increased on all three of my credit bureaus. This is false information. The company they used to collect the debt was XXXX XXXX. The charge shows on my bank account on XX/XX/XXXX through XXXX XXXX. Somehow this debt has returned. Please help. 

Here is the company in question : XXXX XXXX XXXX  Here is the company they used to collect the debt : XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I understand Bank of America turned over personal information to the FBI recently so that that organization can monitor our purchases without our consent. I find this utterly staggering.
"Credit reporting, credit repair services, or other personal consumer reports","I have been fighting this bankruptcy for years because of the inaccuracies inside of the bankruptcy which is why it is dismissed. There were several accounts that were excluded on the bankruptcy, but were filed to be dismissed. 

Today, I logged into XXXX  to verify the information that was correct and incorrect. 

I noticed that bills that were included in the bankruptcy are still on the report. I also noticed that the case number is incorrect. I am sure what is being reported on all three bureaus, XXXX and XXXX is incorrect information."
"Credit reporting, credit repair services, or other personal consumer reports","On today, XX/XX/XXXX, I received an alert from TransUnion that a XXXX account was reporting 120+ days late. This caused my credit score to drop XXXX points! I called and spoke with a representative and she said that they have not reported on my account since XXXX and that my account was paid in full through consolidation. I demand that this account is removed or updated to show accuracy."
Checking or savings account,Ally bank locked my account for 3 months and didnot restored it. Been trying customer phone line which is always waiting after holding for all days. They dont support anycalls
Debt collection,I XXXX XXXX entered into a consumer credit transaction with XXXX XXXX XXXX ( XXXX ). A consumer transaction is a transaction in which a finance charge is involved. Pursuant to 15 usc 1605 a finance charge is the sum of all charges in a consumer credit transaction. Because I know the finance charge is the sum of all charges I was not expecting a bill.
"Credit reporting, credit repair services, or other personal consumer reports",The information on my report is not mine and I have written them a few times to prove the original instrument of indebtedness in its original form. I still have not received it yet.
"Credit reporting, credit repair services, or other personal consumer reports","Wells fargo has a credit system its free, i just want to know how they come up with a score of XXXX, compared to XXXX  and XXXX XXXX, the reason they are listing my score is low are out of scope. My debt is below 9 percent, so i am confused on the XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","XXXX has already been notified that XXXX  XXXX university is improperly collection {$150.00} and it has been removed from the XXXX  credit profile listed in my name previously, i need this to be reomved immediatly as it has been removed."
"Credit reporting, credit repair services, or other personal consumer reports","I used Transunion to check my credit, since then they have billed me a charge of XXXX six different times without my consent. I never signed up for a service or purchased anything."
Credit card or prepaid card,"I sent a letter to Barclays Bank Delaware to close account XX/XX/2020, they sent bill for the next 4 Months starting in XX/XX/2020 I kept getting billed. tried to call and never could get anyone on Phone, wrote another letter. Finally I gave up, I am asking that this gets taken off my credit report because this is a blemish I should not be responsible for. 

Thank You, XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","compliant number XXXX this is my second complaint and it is a major issue with it has been more than 30 days.This is the second time I have disputed this account under the FDCPA and FCRA 609 and 611, 605b please remove deleted the following account : XXXX/XXXX  XXXX  # XXXX, XXXX XXXX XXXX # XXXX"
Debt collection,"Hospital/Physicians and Credit Control Corporation are in violation of the HIPPA law, sending unauthorized PHI and PII with no signed HIPPA release form and without truly verifying if this account belongs to me. For almost two years, I've been asking for documentation verifying these accounts, yet still no original signed documentation given, only copies of medical billing statement with diagnosis, patient name and date of birth."
"Credit reporting, credit repair services, or other personal consumer reports",I am being reported late by XXXX and I have never been 30 days late. I have been dealing with this for three months. This is affecting my life
"Credit reporting, credit repair services, or other personal consumer reports","I spoke with creditor XXXX this remark is NOT accurate. This account has been paid off and on time. XXXX said they sent a notice to the credit agencies why hasn't this been fixed. 

XXXX XXXX AUTO Fix this ASAP"
Debt collection,My identity has been compromised by somebody I do not know. Please feel free to contact me if you have any questions or concerns.
"Credit reporting, credit repair services, or other personal consumer reports","The big 3 ( XXXX experian, and XXXX ) has not performed independent investigations. I sent letters and notified ( XXXX, Experian, and XXXX ) that there are inaccurate accounts reported. I also provided the exact reasons directly from my credit report that clearly and concisely details why theyre inaccurate. I asked them to Please independently re-investigate these items. I also requested how these ( items ) were verified as accurate, when my credit report supports my claim and disproves the credit bureaus. Still to this day No proof that they performed an independent investigation please have them delete"
Credit card or prepaid card,"I received without requesting it or participating to any Government program a US-Bank Relia Card.

Despite many tentative to contact the Service at the indicated phone number, none ever answer the phone, but the computerized voice message lead to a never ending hold. 

I did not apply for this and want my record deleted from the system as this is a fraudulent use of my name."
"Credit reporting, credit repair services, or other personal consumer reports",I was not notified nor updated of my investigation results
Mortgage,"I paid the balance of my home mortgage in XX/XX/2020 and have not received a satisfaction of mortgage letter from the lender, XXXX XXXX. I have phoned the lender numerous times starting in XX/XX/2020 and they continue to respond by stating they are placing the request for the letter but they will not allow me to speak with anyone from the department responsible for creating the satisfaction letter."
"Credit reporting, credit repair services, or other personal consumer reports",EXPERIAN HAS FAILED TO REMOCE THIS XXXX  ACCOUNT EVEN SHOWING PROOF ITS PAID FOR IN FULL AND SHOULD BE REMOVE IM GOING TO FILE A LAWSUIT. I SENT THEM A COPY OF THE LETTER JUST LIKE I SENT IT TO THE OTHER COMPANIES THAT REPORT DATA AND THEY FAIL TO REMOVE IT
Debt collection,"Experian is reporting negative items on my report that WAS NOT AUTHORIZED and BY LAW that is illegal. 
FDaCPA 809 Violation Misleading False Reporting."
"Credit reporting, credit repair services, or other personal consumer reports","Experian continuously violates federal law by reporting inquiries that are illegal, inaccurate, and misleading. 

Inquiry ; XXXX XXXX service : Inquiry was not approved by me ; violation No credit or loan has been awarded ; their were no probably cause for inquiry."
Credit card or prepaid card,"Am responding to CFPB 's request for feedback regarding complaint # XXXX and # XXXX. Citibank 's response made no sense what so ever and no effort has been made to resolve the issue at hand. Subsequently documentation that substantiates "" An airline must return fees paid if they cancel the purchased flight. '' has been sent without a response. The flight in question was purchased in XX/XX/2020 and scheduled to depart on XX/XX/2020. XXXX XXXX canceled the flight and all others from the US in XX/XX/2020 and Citibank informed soon thereafter."
Debt collection,MERCHANTS CREDIT GUIDE IS A THIRD PARTY DEBT COLLECTION COMPANY IS REPORTING INACCURATE INFORMATION OF A ALLEGED DEBT THAT IS NOT MINE. THEY HAVE NOT RESPONDED WITHIN 30 DAYS WHICH IS A VIOLATION AND HAVE NOT PROVIDED ANY CONTRACT BEARING MY SIGNATURE CONNECTING ME TO THE DEBT. ALSO I NEVER SIGNED A HIPPA REQUEST FORM SO THEY ARE VIOLATING MY HIPPA RIGHTS REPORTING THIS ALLEGED MEDICAL DEBT TO MY CONSUMER REPORTS. I WANT THEM TO REMOVE THIS DEBT
Debt collection,"On XX/XX/XXXX, I logged into XXXX XXXX  and saw a new account reported under my name for XXXX XXXX for the amount of {$310.00}. The account was initially opened in XX/XX/XXXX. There is no way this account is mine because I live with my parent for the past 3 years. I haven't signed my name over to anyone to open an account for XXXX XXXX. I suspect this is fraud under my name. I have lost my social security card a few years back but made due with a copy I have. I think someone has stolen my identity."
"Credit reporting, credit repair services, or other personal consumer reports","Experian credit bureau will mot remove a late payment for my XXXX credit card, i have tried on 4-5 different occasions to dispute this information with Experian and they refuse to correct this on my credit report. I am trying to purchase a home and i cant because Experian is reporting wrong information. XXXX  and XXXX  are reporting that i have a great payment history. I have also called XXXX as well and they have also sent them requests to remove from my report"
Debt collection,"A debt collector has violated my HIPPA rights. The company has bee reporting negatively on my XXXX XXXX and XXXX. I have contacted XXXX XXXX  and XXXX  by letter and certified mail beginning XX/XX/2020, XX/XX/2020 XXXX XXXX XXXX XXXX XXXX XXXX and each month thereafter. I have also contacted the hospital and debt collector in which the company has sent me a contract, detailed with my personal information and what medical reason I was been treated for. I have communications regarding certified letters and dates the companies and bureaus and i were in communication."
"Credit reporting, credit repair services, or other personal consumer reports",I recently received a copy of my credit report and ACT Account is showing on my report in which I have no knowledge of this account. Under the Fair Credit Report Act please remove the fraudulent information which is hindering me from purchasing a home.
Debt collection,"Repeaditly calling all throughout the day while I'm at work. Leaving messages on my voicemail saying they are trying to serve me papers, leaving messages on my wife 's phone saying they're trying to serve me papers. They calling from different numbers so, I don't know what is what. I'm struggling right now in this pandemic so I'm in able to make a payment right now and it's really nerve wrecking. The calls come everyday. I check my credit report weekly so I know what I owe and who I owe. 

XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I put in a complaint about XXXX XXXX XXXX reporting information that has been proven to be fraudulent to Experian XXXX  that is stopping me from getting a new place to live. Now instead of responding to my complaint and removing the information, they are saying I am not their customer and I can not speak on my own behalf. However, they are furnishing negative information to my credit report, but claim that I am not a client. They continue to be unethical and violate my consumer rights"
Debt collection,I don't remember that I had an account with these collectors/creditors. I've asked multiple times to send proof of ownership but they haven't complied with my request yet.
"Credit reporting, credit repair services, or other personal consumer reports",The credit bureau is reporting inaccurate information to my credit report. I sent in a dispute letter to them on XX/XX/2020. They have fail to comply within the 30 day statute of limitations.
"Credit reporting, credit repair services, or other personal consumer reports","I have a few accounts that I found on my report that are inaccurate and fraudulent. I believe someone has accessed a account using my personal information. Please delete the following accounts : XXXX, XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I have been a victim of Identity Theft. The Items I have identified and highlighted on my credit report in which I sent into XXXX do not relate to any transactions that I have made or have applied for resulting in Fraud creating several errors which have all hurt my credit score I value. I have asked XXXX to Please block, remove or delete this information pursuant to section FCRA 611. XXXX is the reason why this has happened!"
Debt collection,"This was the result of identity theft. I contacted Sequium Asset Solutions. Asking them to immediately delete this from my report yet it still remains its on, XXXX, XXXX  and XXXX  it needs to be deleted ASAP."
"Credit reporting, credit repair services, or other personal consumer reports","THESE ACCOUNTS WERE LISTED ON MY CREDIT REPORT AND I HAVE NEVER OPENED THESE ACCOUNTS. MY INFORMATION WAS USED IN A DATA BREACH BECAUSE I HAVE NO BUSINESS WITH THESES COMPANIES, PLEASE HAVE THESE ITEMS REMOVED FROM MY FILE."
"Credit reporting, credit repair services, or other personal consumer reports",remove the security freeze and the fraud alerts on my reports I did not add them and incant get them to remove ant other way Ive attached my id as proof of id thx XXXX XXXX XXXX
Debt collection,"Insurance company has my name for an account that isnt my account. 

Company is Harrasing me and has this incorrect information on My credit reports : XXXX XXXX XXXX XXXX  Incorrect information is impacting my credit score."
"Credit reporting, credit repair services, or other personal consumer reports","In XX/XX/2020 someone used my information to secure a line of credit or loan with XXXX XXXX. 
It is on my credit report and damaging my "" Excellent '' credit rating. 
It was for {$1200.00} and has never been paid. I have never had a line of credit or loan with XXXX. This debt is fraudulent and not mine. 
There were aka names on my credit report that are not mine. 
There are address on my credit report that are not mine. 
There are phone numbers on my credit report that are not mine."
Debt collection,I have contacted XXXX XXXX XXXX and this agency to advised this account was opened fraudulently and i have the FTC reports to sustain my claims. The company refuse and have very rude agents. Also I have a Consented phone recording where the debt collector refuse to give me info for the legal department.
"Credit reporting, credit repair services, or other personal consumer reports",I HAVE SENT 609 LETTERS AND A DEMAND TO COMPLY TO ALL THREE AND THEY HAVE NOT RESPONSE. THE ITEMS YET
"Credit reporting, credit repair services, or other personal consumer reports","for the last 6 months I have been told that I need to contact the creditor as they may not know how to contact me, I have contacted all the creditors and they can not find the information that is being report nor an account and they tell me to go to the credit reporting agency the credit reporting agency keeps sending me back the creditor does not have my contact info. 

I have provided documents to include police reports and ftc reports still same thing"
"Credit reporting, credit repair services, or other personal consumer reports","I am attaching an affidavit for identity theft in regards to XXXX XXXX XXXX XXXX  and an account that was opened fraudulently in my name with them, allegedly. I did NOT open an account with this company and I have submitted an affidavit to this affect. I attach the affidavit to this complaint and demand the item be deleted from my credit report."
"Credit reporting, credit repair services, or other personal consumer reports","At this time, I respectfully request a copy of my Experian, XXXX and XXXX XXXX credit report. I dont know why all of my written requests have been ignored, but it would be greatly appreciated if each credit reporting agency will mail out a copy of my credit report to XXXX XXXX, XXXX XXXX XXXX, XXXX, NY XXXX. Your professional cooperation will be greatly appreciated. 
XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","Through multiple attempts to have these accounts verified as accurate, the bureaus have failed to provide me any proof that these accounts belong to me. 

I have stated on several occasions that these accounts do not belong to me and belong to someone with a similar name and I am demanding these accounts be deleted as they are damaging my credit reports, or that the reporting bureau provides proof of verification and accuracy of this account. They have failed to do so. 

Account details : XXXX XXXX XXXX - XXXX Address : XXXX XXXX XXXX XXXX XXXX XXXX CA XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I have sent a few letters, to be more specific since XX/XX/2020, XX/XX/2020, XX/XX/2020, XX/XX/2020, XXXX explain and also sending prof that they are reporting inaccuracies like re-age account and also balances that are wrong but they keep ignoring me and have not sent me correct info. 
Also to be more specific on "" XXXX XXXX XXXX '', "" XXXX  XXXX XXXX '', XXXX  XXXX, XXXX XXXX ''. this accounts have re-age and show inaccurate info."
Debt collection,My ex-wife fraudulently opened this XXXX/XXXX  account which reports a debt she owes at {$710.00} without my consent.
"Credit reporting, credit repair services, or other personal consumer reports","There is a Derogatory Public Record or Collection Filed note on all three of the Credit Reporting agencies. 

I have no knowledge of any collection being filed. 
Previous collection file was due to an error through a debt consolidation company and the hospital they were attempting to pay - but the collection was dropped."
Checking or savings account,"I authorized Citibank to withdraw funds from my XXXX XXXX account ending in XXXX. 

For reasons, no one at Citi has explained, funds were withdrawn from another account at XXXX ending in XXXX. 

Not only is the security of my account compromised, I was assessed an overdraft fee of {$35.00}."
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX shows up on my credit reports as charge off. Card was never payed late ever.
"Credit reporting, credit repair services, or other personal consumer reports",In XX/XX/2020 I filed disputes with all 3 credit bureaus that there are some collections that way pass 7 years and need to come off. I do not understand why it is taking so long for this happen? Are they not doing their jobs? Why should I have to spend my time writing this complaint when I already filed disputes with them.
"Credit reporting, credit repair services, or other personal consumer reports","Experian has on XX/XX/2021 XXXX XXXX XXXX XXXX XXXX XXXX PA XXXX which is wrong with no apartment number. 
Correct address is XXXX XXXX XXXX XXXX XXXX XXXX XXXX PA XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I have disputed late payments with my mortgage company. 

They sent me a letter which does not constitute validation of the payment history. 

I was on a repayment plan which provided a different amount then my and different due dates. 

The credit report verifies payments received in XXXX reported by Loancare. 

In XXXX I submitted a application for forbearance and never received a response from the company other than the confirmation email. 

I have provided copies of my credit reports showing the discrepancies between the bureaus which is been verified/certified as accurate by information provider LoanCare."
"Credit reporting, credit repair services, or other personal consumer reports","The bureaus are showing XXXX XXXX as 90 days delinquent in XX/XX/2020 and that is not correct. I was under the Forbearance program due to the Care 's Act. 

I have attached proof"
Debt collection,I have informed the debt collector ( Convergent ) and the debt holder ( XXXX ) that their alleged debt is the result of identity theft. I have filled out XXXX fraud packet and submitted it to them. They have not removed the debt and repaired my credit. I have demanded that my credit be repaired and that has not been done.
"Credit reporting, credit repair services, or other personal consumer reports",Trans union want give me any information. When I told them that the information is not accurate they told me they get there information from a 3rd party
"Credit reporting, credit repair services, or other personal consumer reports","There is an unknown hard inquiry on my credit reports. Im requested the verification of the inquiry and the method of verification. CITI CARDS CBNA, Inquiry Date XX/XX/2020. For the first time no response came in 15 days company did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiry."
Debt collection,"Ars Account Resolution, Original Creditor XXXX  XXXX XXXX XXXX XXXX XXXX. 
reported as derogatory on XXXX  and transition, account # XXXX, with a wrongly reported balance of {$1200.00}. multiple disputes and attempts both to creditors and credit bureaus, all have failed to provide proof need it by law and still will not delete the wrong not proved derogatory report"
"Credit reporting, credit repair services, or other personal consumer reports","I submitted a dispute that my XXXX XXXX loans was paid in full with a XXXX balance and the bureau will not update it. I submitted my dispute XXXX and my report was unchanged as if XXXX. This is with XXXX. 
Experian wouldnt even take my documents. Stating it wasnt clear. I dont understand, the verification came straight from XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",Experian is showing one time late in there categories box. I requested and received and reviewed my full credit report. There is no lender reporting a 30-day late on the report at all. I have tried to relate this information to Experian and have not heard anything back from them. I want the one time late from some unknown entity removed from my credit report.
"Credit reporting, credit repair services, or other personal consumer reports","I sent a dispute letter to the credit bureaus and haven't heard anything from them. I've given them ample time but did not inform me of their investigation results. I'd like to get this information to see why the bureaus are reporting a few things differently and failed to support such reporting. 
The accounts - XXXX XXXX XXXX XXXX XXXX Account Number : XXXX****, XXXX XXXX Account Number : XXXX****, XXXX. XXXX Account Number : XXXX**** were reported on my credit report and send disputes but failed to respond and with no proof of responsibility."
